Taxon	mass_mg	source
Rhagionidae	33.18076923	Aquaplus_DM_measured
Rhithrogena	0.728889806	Aquaplus_DM_measured
Rhyacophila	3.947058824	Aquaplus_DM_measured
Rhyacophilidae	3.900705219	Aquaplus_DM_measured
Scirtidae	0.916666667	Aquaplus_DM_measured
Sericostoma	1.875	Aquaplus_DM_measured
Sericostomatidae	1.875	Aquaplus_DM_measured
Silo	2.586516854	Aquaplus_DM_measured
Simuliidae	0.152284778	Aquaplus_DM_measured
Simulium	0.193160275	Aquaplus_DM_measured
Sphaeriidae	0.416666667	Aquaplus_DM_measured
Sphaerium	0.416666667	Aquaplus_DM_measured
Taeniopterygidae	0.932784042	Aquaplus_DM_measured
Tanytarsini	0.113636364	Aquaplus_DM_measured
Tipula	30.80136986	Aquaplus_DM_measured
Tipulidae	9.576066025	Aquaplus_DM_measured
Triopsidae	0.089285714	Aquaplus_DM_measured
Tubificidae	0.436598308	Aquaplus_DM_measured
Aphelocheiridae 	9.66528	calcfromLengthwikipediaandformulaStatzner1988
Bithyniatentaculata 	8.6	Bernardini_2000_SameasPhysella
Calopteryx	3.3	Leonard A. Smock
Dugesia	0.64	Bernardini_2000
Gyraulus	6	Meyer 1989
Physellaacuta 	8.6	Bernardini_2000
Tabanidae	13	Aquaplus_calculatedfromWM
Platambusmaculatus	5.56	Brittain_1978_DM_measured
Brachycentrussubnubilus	0.230609259	old_database_AP
Chloroperlidae	0.533187151	old_database_Chloroperla_AP
Dendrocoelumlacteum	0.534091009	old_database_AP
Dixidae	0.470730168	old_database_Dixa_AP
Gerridae	0.943020803	old_database_Gerris_AP
Gomphidae	0.799111091	old_database_Gomphus_AP
Haliplus	0.980232341	old_database_AP
Hydrachnidia	0.176713488	old_database_AP
Lispe	0.532443014	old_database_AP
Nemourinae	0.449780291	old_database_AP
Orectochilus	1.052413033	old_database_Orectochilusvillosus_AP
Potamopyrgusantipodarum	10.79363624	old_database_AP
Sialis	0.391280152	old_database_AP
Siphlonurus	0.06161534	old_database_AP
Valvatacristata	3.215527889	old_database_AP
Brychiuselevatus	1.005583515	old_database_AP
Corixidae	0.261266711	old_database_Corixa_AP
Helophorus	0.905962268	old_database_AP
Hydraena	0.717143246	old_database_AP
Limnebius	0.714412603	old_database_AP
Pacifastacusleniusculus	5.817731081	old_database_Pacifastacus_AP
