Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Neumania deltoides																																											
Neumania imitata																																											
Neumania limosa																																											
Neumania papillosa																																											
Neumania spinipes																																											
Neumania vernalis																																											
Unionicola aculeata																																											
Unionicola bonzi																																											
Unionicola crassipes																																											
Unionicola figuralis																																											
Unionicola gracilipalpis																																											
Unionicola intermedia																																											
Unionicola inusitata																																											
Unionicola minor																																											
Unionicola parvipora																																											
Unionicola tricuspis																																											
Unionicola ypsilophora																																											
Crustacea																																											
ARGULIDAE																																											
Argulus coregoni																	1																									10	
Argulus foliaceus																1																										10	
Argulus pellucidus																																											
ARTEMIIDAE																																											
Artemia parthenogenetica																																											
Artemia salina																																											
Artemia tunisiana																																											
ASELLIDAE																																											
Asellus aquaticus																				1											3	6	1	3			3	4					
Asellus aquaticus (karstic type)																																		3			3	4					
Proasellus cavaticus																				1									8	2													10
Proasellus coxalis																			1												3	6	1	1			8	1					
Proasellus meridianus																																					10						
Proasellus slavus																													10														10
ASTACIDAE																																											
Astacus astacus																	1													3	6	1						3			3		4
Astacus leptodactylus																	1													2	6	2						3			3		4
Astacus pachypus																																											
Astacus torrentium																		1											1	6	3							3			3		4
Austropotamobius pallipes																																						3			3		4
Pacifastacus leniusculus																				1																		3			3		4
ATYIDAE																																											
Atyaephyra desmaresti																	1														7	3						5					5
BALANIDAE																																											
Balanus improvisus																	1																										
Semibalanus balanoides																																											
BOGIDIELLIDAE																																											
Bogidiella albertimagni																																											
BRANCHINECTIDAE																																											
Branchinecta ferox																																							10				
Branchinecta orientalis																																							10				
Branchinecta paludosa																																											
BRANCHIPODIDAE																																											
Branchipus schaefferi																																							10				
Tanymastix stagnalis																																							10				
CAMBARIDAE																																											
Orconectes immunis																																											
Orconectes limosus																	1														6	4						3			3		4
Procambarus acutus																																											
Procambarus clarkii																																											
CHIROCEPHALIDAE																																											
CHIROCEPHALINAE																																											
Chirocephalus carnuntanus																																							10				
Chirocephalus diaphanus																																											
Chirocephalus shadini																																							10				
Eubranchipus grubii																																							10				
COROPHIIDAE																																											
Corophium chelicorne																																											
Corophium curvispinum																		1												1	7	2							10				
Corophium lacustre																	1																										
Corophium maeoticum																																											
Corophium mucronatum																																											
Corophium multisetosum																	1																					2	8				
Corophium nobile																																											
Corophium robustum																																											
Corophium sowinskyi																																											
Corophium volutator																	1																				10						
CRANGONIDAE																																											
Crangon crangon																	1																	1				1			8		
CRANGONYCTIDAE																																											
Crangonyx chlebovnikovi																																											
Crangonyx islandicus																																											
Crangonyx paxi																																											
Crangonyx pseudogracilis																																											
Crangonyx subterraneus																																											
Synurella ambulans																														2	5	3					5	5					
Synurella ambulans (karstic type)																																											
Synurella coeca																																											
Synurella intermedia																																											
Synurella longidactylus																																											
CYZICIDAE																																											
Cyzicus tetracerus																																											
ECTINOSOMATIDAE																																											
Prestwichia aquatica																																											
GAMMARACANTHIDAE																																											
Gammaracanthus loricatus																																											
GAMMARIDAE																																											
Chaetogammarus chaetocerus																																											
Dikerogammarus bispinosus																																											
Dikerogammarus haemobaphes																														1	6	3		1			2	2			3		2
Dikerogammarus spandli																																											
Dikerogammarus villosus																														1	7	2		1			2	2			3		2
Echinogammarus acarinatus																																		1			7	1			1		
Echinogammarus adipatus																																											
Echinogammarus anisocheirus																																											
Echinogammarus apfelbecki																																											
Echinogammarus aquilifer																																											
Echinogammarus berilloni																	1																				5	5					
Echinogammarus calvus																																											
Echinogammarus cari																																		1			1	7			1		
Echinogammarus cyrtus																																											
Echinogammarus dahli																																											
Echinogammarus echinosetosus																																											
Echinogammarus eisentrauti																																											
Echinogammarus feminatus																																											
Echinogammarus foxi																																											
Echinogammarus ischnus																														3	6	1		1				2		5			2
Echinogammarus kerkuraios																																											
Echinogammarus klaptoczi																																											
Echinogammarus kretensis																																											
Echinogammarus lochites																																											
Echinogammarus longisetosus																																											
Echinogammarus lusitanus																																											
Echinogammarus macrocarpus																																											
Echinogammarus margalefi																																											
Echinogammarus marinus																																											
Echinogammarus meridionalis																																											
Echinogammarus monomerus																																											
Echinogammarus obtusidens																																											
Echinogammarus olivii																																											
Echinogammarus pacaudi																																											
Echinogammarus pinksteri																																											
Echinogammarus pirloti																																											
Echinogammarus placidus																																											
Echinogammarus stammeri																																											
Echinogammarus tibaldii																																											
Echinogammarus trichiatus																																		1			2	2			3		2
Echinogammarus veneris																																											
Echinogammarus warpachowskyi																																											
Fontogammarus dalmatinus dalmatinus																																		1			6	2			1		
Fontogammarus dalmatinus krkensis																																		1			6	2			1		
Gammarus aequicauda																																											
Gammarus arduus																																											
Gammarus argaeus																																											
Gammarus balcanicus																																					6	2					2
Gammarus bosniacus																																											
Gammarus caparti																																											
Gammarus chevreuxi																	1																										
Gammarus crenulatus																																											
Gammarus crinicornis																																											
Gammarus duebeni																	1																				5	5					
Gammarus dulensis																																											
Gammarus fossarum																		1											1	4	3	2		1			7	2					
Gammarus frater																																											
Gammarus goedmakersae																																											
Gammarus ibericus																																											
Gammarus insensibilis																																											
Gammarus italicus																																											
Gammarus kischineffensis																																											
Gammarus komareki																																											
Gammarus lacustris																				1														1			5	2			2		
Gammarus leopoliensis																																											
Gammarus monspeliensis																																											
Gammarus nox																																											
Gammarus oceanicus																																											
Gammarus ochridensis																																											
Gammarus pljakici																																											
Gammarus pulex																		1												2	6	2		1			6	2			1		
Gammarus rambouseki																																											
Gammarus roeselii																	1													1	4	5		1			5	3			1		
Gammarus spooneri																	1																				5	3			2		
Gammarus stojicevici																																											
Gammarus tigrinus																	1																				7	3					
Gammarus uludagi																																											
Gammarus varsoviensis																																											
Gammarus wautieri																																											
Gammarus zaddachi																	1																				5	5					
Microniphargus leruthi																																											
Niphargellus arndti																																											
Niphargellus nolli																																											
Niphargopsis casparyi																																											
Niphargus aquilex																																					10						
Niphargus auerbachi																																											
Niphargus bajuvaricus																																											
Niphargus casimiriensis																																											
Niphargus dudichi																																											
Niphargus enslini																																											
Niphargus fontanus																	1																										
Niphargus foreli																																											
Niphargus hrabei																														2	6	2					5	5					
Niphargus hungaricus																																											
Niphargus inopinatus																																											
Niphargus javonici																																											
Niphargus kieferi																																											
Niphargus kochianus																																											
Niphargus laisi																																											
Niphargus leopoliensis																																											
Niphargus puteanus																																					10						
Niphargus rajecensis																																											
Niphargus rhenorhodanensis																																											
Niphargus rhodi																																											
Niphargus schellenbergi																																					10						
Niphargus strouhali																																											
Niphargus stygius																																											
Niphargus tatrensis																																											
Niphargus thermalis																																											
Niphargus thienemanni																																											
Niphargus valachicus																																											
Niphargus virei																																											
Obesogammarus crassus																																											
Obesogammarus obesus																														3	4	3		1			2	2			3		2
Pallasiola quadrispinosa																																											
Pontogammarus abbreviatus																																											
Pontogammarus aestuarius																																											
Pontogammarus aralensis																																											
Pontogammarus borceae																																											
Pontogammarus maeoticus																																											
Pontogammarus robustoides																																											
Pontogammarus sarsi																																											
Pontogammarus weidemanni																																											
Relictacanthus lacustris																																											
Rhipidogammarus gomeranus																																											
Rhipidogammarus karamani																																											
Rhipidogammarus nivariae																																											
Rhipidogammarus rheophilus																																											
Rhipidogammarus rhipidiophorus																																											
Rhipidogammarus variicauda																																											
Sarothrogammarus catacumbae																																											
Sarothrogammarus cataractae																																											
Sarothrogammarus guernei																																											
Sarothrogammarus madeirensis																																											
Shablogammarus shablensis																																											
Stenogammarus carausui																																											
Stenogammarus compressus																																											
Stenogammarus macrurus																																											
Stenogammarus similis																																											
GRAPSIDAE																																											
Eriocheir sinensis																		1												5	5						2				7		1
HAUSTORIIDAE																																											
Bathyporeia pilosa																																											
Monoporeia affinis																																											
IDOTEIDAE																																											
Saduria entomon																																											
IMNADIIDAE																																											
Imnadia yeyetta																																											
JANIRIDAE																																											
Jaera istri																														3	6	1		10									
LEPTESTHERIIDAE																																											
Eoleptestheria ticinensis																																											
Leptestheria dahalacensis																																											
LIGIIDAE																																											
Ligidium hypnorum															1																												
LIMNADIIDAE																																											
Limnadia lenticularis														1																													
LYNCEIDAE																																											
Lynceus brachyurus														1																													
MYSIDAE																																											
Hemimysis anomala																																											
Katamysis warpachowskyi																																											
Limnomysis benedeni																														2	7	1							10				
Mysis relicta																																											
Neomysis integer																	1																					5			5		
PALAEMONIDAE																																											
Palaemonetes antennarius																																											
Palaemonetes longirostris																	1																								10		
Palaemonetes varians																	1																								10		
Palaemonetes zariquieyi																																											
POLYARTEMIIDAE																																											
Polyartemia forcipata																																											
PONTOPOREIIDAE																																											
Pontoporeia femorata																																											
PORTUNIDAE																																											
Callinectes sapidus																																											
Carcinus maenas																	1																	1							8		1
POTAMIDAE																																											
Potamon fluviatile																																											
Potamon ibericum																																											
Potamon potamios																																											
SPHAEROMATIDAE																																											
Sphaeroma rugicauda																																		10									
STREPTOCEPHALIDAE																																											
Streptocephalus torvicornis																																							10				
TALITRIDAE																																											
Orchestia cavimana																																					10						
Orchestia chevreuxi																																											
Orchestia gammarellus																																											
Orchestia platensis																																											
Orchestia roffoensis																																											
TRIOPSIDAE																																											
Lepidurus apus														1																													
Lepidurus arcticus																																											
Triops cancriformis														1																													
XANTHIDAE																																											
Rhithropanopeus harrisii																	1																										
Ephemeroptera																																											
AMELETIDAE																																											
Ameletus inopinatus	2		1		1	4			2									1			1	6	3				1		5	5				5				5					
Metreletus balcanicus									10																																		
AMETROPODIDAE																																											
Ametropus fragilis	3		5							1	1						1							10			1																
Metreplecton macronyx																																											
Metretopus alter			10												1												1																
Metretopus borealis			10												1												1																
ARTHROPLEIDAE																																											
Arthroplea congener	2								4	2		2			1												1												10				
BAETIDAE																																											
Acentrella almohades																			1						10																		
Acentrella hyaloptera																																											
Acentrella inexpectata																																		5				5					
Acentrella lapponica					5	5																												6				4					
Acentrella sinaica					4	5			1									1				1	8	1										9				1					
Baetis albinatii																																											
Baetis alpinus				1	3	5			1									1			3	5	2				1		2	4	4			5				5					
Baetis atrebatinus			1	1	1	2			5								1																										
Baetis balcanicus																																											
Baetis beskidensis					5	5											1				3	4	3				1							5				5					
Baetis bicaudatus					5	5												1																									
Baetis braaschi																																											
Baetis buceratus	1	1		1	2			1	4								1						8	2			1			1	4	5		5				5					
Baetis bundyae																		1				10												10									
Baetis calcaratus									10																									10									
Baetis canariensis																	1																	10									
Baetis catharus				3	4				3									1					10																				
Baetis cyrneus					4	5			1									1																									
Baetis digitatus					1	1			8								1																	5				5					
Baetis estrelensis																																											
Baetis feles																																											
Baetis fuscatus			2	2	2	1			2	1							1					4	3	3			1				8	2		5				5					
Baetis gadeai																		1																5				5					
Baetis gracilis																																		5				5					
Baetis ingridae																																		5				5					
Baetis kozufensis																																											
Baetis liebenauae			1	1	1	1			6								1					2	4	4			1							5				5					
Baetis longinervis																																											
Baetis lutheri				1	4	4			1									1			2	1	5	2			1			4	6			5				5					
Baetis macani			1		4				5							1					5	5												5				5					
Baetis maurus					6	4													1								1							6				4					
Baetis melanonyx					4	5			1									1			2	4	4						2	5	3			5				5					
Baetis meridionalis			5	5																			10											5				5					
Baetis muticus			1	1	2	1			4			1					1				1	2	3	1	3		1		1	4	5			5				5					
Baetis navasi																1											1																
Baetis neglectus																																											
Baetis nexus	2		1		1			2	2	2								1				1	4	1	4		1				7	3		5				5					
Baetis nicolae									10																									5				5					
Baetis niger					1				7	2							1					5	5				1			3	6	1		5				5					
Baetis nigrescens																																											
Baetis nubecularis					5				5																									5				5					
Baetis pasquetorum						10												1					10																				
Baetis pavidus				2	5	3												1									1							5				5					
Baetis pseudorhodani																																											
Baetis punicus		1	2	2	5													1																									
Baetis rhodani			1	1	2	2		1	1	1	1							1			1	2	3	1	3		1			2	5	3		5				5					
Baetis scambus			1	2	3	1			3									1				1	8	1						3	7			5				5					
Baetis strugensis																																											
Baetis subalpinus									10									1																5				5					
Baetis tracheatus	1								8	1							1													1	7	2		5				5					
Baetis tricolor			3		2	2			3														10											5				5					
Baetis vardarensis				2	6	1			1									1									1				8	2		5				5					
Baetis vernus	1			1	3	2		1	2									1				2	7	1			1			2	3	5		5				5					
Baetopus tenellus			1	1					8									1																							10		
Baetopus wartensis			8						2																																10		
Centroptilum litura																																											
Centroptilum luteolum			2	1					6	1					1							1	3	2	4		1			1	7	2		7				3					
Centroptilum obtusum																																											
Centroptilum pirinense																																											
Cloeon cognatum	2	2	3							1	2				1																												
Cloeon degrangei																																											
Cloeon dipterum		1	1					1	6	1					1							1	1	8			1				5	4	1	5				5					
Cloeon inscriptum		2	2	2	2				2																		1							5				5					
Cloeon languidum			5						5						1																												
Cloeon petropolitanum															1																												
Cloeon praetextum									5	5					1																			5				5					
Cloeon schoenemundi		1	2	7																														5				5					
Cloeon simile	1				1			1	5	2					1								10				1			1	5	4		5				5					
Procloeon bifidum	1	1	1	1	2				2	2							1						6	4						2	4	4						10					
Procloeon calabrum					5	5											1					10																					
Procloeon concinnum																																											
Procloeon fascicaudale																																											
Procloeon lacustre																																											
Procloeon macronyx																																											
Procloeon nemorale																																											
Procloeon parapulchrum																																											
Procloeon pennulatum			1		2				4	2	1						1						6	4			1			1	5	4		5				5					
Procloeon pulchrum				1	3	2			2	2							1																	5				5					
Procloeon stenopteryx																																		5				5					
Procloeon unguiculatum																																											
Pseudocentroptiloides nana		2	8												1																												
Pseudocentroptiloides romanica																																											
BEHNINGIIDAE																																											
Behningia ulmeri																																											
CAENIDAE																																											
Brachycercus europaeus																																											
Brachycercus harrisella	3	1	2		1				1	2							1						1	9			1											10					
Brachycercus kabyliensis																																											
Caenis belfiorei																	1					3	7																				
Caenis beskidensis	1		1	2	1				3	2								1				2	7	1			1		1	4	5							10					
Caenis horaria	3	1	1		1	1			1	2					1								10				1			1	6	3						10					
Caenis lactea	1		3	2	1	2			1						1																							10					
Caenis luctuosa	1	1	2	1	1	1			2	1							1					1	4	5			1				7	3						10					
Caenis macrura	2	1	1	1	2	1			1	1						1						2	7	1			1			3	5	2						10					
Caenis martae	1	1	1	1	1	1		1	1	1	1						1																					10					
Caenis nachoi			6		1					3													10				1																
Caenis pseudorivulorum	2		1	1	1	2			1	1	1							1					1	9			1			3	5	2						10					
Caenis pusilla	1	1	2	2	1	1				2								1				3	7				1											10					
Caenis rivulorum			1	1	1	2		1	1	3								1			1	1	7	1			1			3	5	2						10					
Caenis robusta	3				1				4	2					1												1			1	6	3						10					
Caenis strugaensis	1				1				7	1				1																													
Caenis valentinae			5	5																																							
Cercobrachys minutus																																											
EPHEMERELLIDAE																																											
Drunella paradinasi					1	1			8																																10		
Ephemerella aroni																					4	4	2				1							4			1	5					
Ephemerella mucronata				1	3	3			2	1							1				2	2	3	3			1			6	4			5				5					
Ephemerella notata	1				2	1			5		1						1						1	1	8		1			2	6	2		5				5					
Eurylophella iberica									5		5																																
Eurylophella karelica	4								3		3					1																											
Serratella albai					2	2			6						1								5	5																			
Serratella hispanica				4	5	1																																					
Serratella ignita	1		1	1	2	1		1	3								1				1	2	4	1	2		1			2	5	3		5				5					
Serratella maculocaudata						10																	1	9			1																
Serratella mesoleuca			1	1	2	5			1														4	6			1							5				5					
Serratella spinosa nevadensis	1		1			2		1	2	1	2																																
Serratella spinosa spinosa					4	3			2		1							1					6	4			1																
Torleya major	2	1	1		1	1			2	2							1					1	5	2	2		1							5				5					
Torleya nazarita	3		3	1	1	1			1																																		
EPHEMERIDAE																																											
Ephemera danica	1	1	4	2	1				1								1				2	2	5		1		1			3	6	1						3	7				
Ephemera glaucops	4	1	4	1												1									10														10				
Ephemera hellenica																																											
Ephemera lineata	3	1	5	1												1																							10				
Ephemera parnassiana																																											
Ephemera vulgata	4	2	2	1	1											1											1			1	6	3						2	8				
Ephemera zettana	1	5	2	1					1							1							10																				
HEPTAGENIIDAE																																											
Afghanurus joernensis					7	3															5	5					1																
Cinygma lyriformis																																											
Ecdyonurus alpinus					6	4												1				10					1							10									
Ecdyonurus androsianus																																											
Ecdyonurus angelieri					5	5												1					4		6																		
Ecdyonurus aurantiacus			1	3	6												1										1				8	2		5				5					
Ecdyonurus austriacus					7	3												1				10					1		3	5	2			5				5					
Ecdyonurus baeticus																																											
Ecdyonurus belfiorei				1	4	3			1	1							1																										
Ecdyonurus bellieri																																											
Ecdyonurus carpathicus																1																											
Ecdyonurus codinai																																											
Ecdyonurus corsicus																	1																										
Ecdyonurus cortensis																	1																										
Ecdyonurus dispar			1	1	5	3											1				1	2	4	3			1			1	7	2		5				5					
Ecdyonurus diversus																																											
Ecdyonurus epeorides																																											
Ecdyonurus excelsus																																											
Ecdyonurus flavimanus																																											
Ecdyonurus fluminum var. speciosa																																											
Ecdyonurus forcipula			2	4	4													1			1	2	2		5					4	5	1											
Ecdyonurus graecus																							10																				
Ecdyonurus helveticus				1	6	2			1								1					8	1		1		1		3	5	2			5				5					
Ecdyonurus insignis					7	3												1					5	5						1	6	3		5				5					
Ecdyonurus krueperi																																											
Ecdyonurus macani				1	8	1											1													6	4			5				5					
Ecdyonurus moreae																																											
Ecdyonurus olgae																																											
Ecdyonurus parahelveticus					7	3										1						6	4				1							10									
Ecdyonurus picteti					7	3												1			5	5					1		3	5	2			5				5					
Ecdyonurus puma																																											
Ecdyonurus ruffoi					5	5											1																	5				5					
Ecdyonurus russevi																																											
Ecdyonurus siveci																																											
Ecdyonurus starmachi					7	3										1													1	5	4			5				5					
Ecdyonurus subalpinus					10																	10												5				5					
Ecdyonurus submontanus					7	3										1					3	4	3				1		4	5	1			5				5					
Ecdyonurus torrentis					6	3			1								1				3	2	4	1			1		2	4	4			5				5					
Ecdyonurus venosus				1	4	3			1	1							1				1	2	3	1	3		1		2	4	4			5				5					
Ecdyonurus vitoshensis																																											
Ecdyonurus zelleri				2	6	2											1					10					1		5	4	1			5				5					
Electrogena affinis	1				1				4		4					1					2	4	4				1			4	6			10									
Electrogena antalyensis																																											
Electrogena aspoecki																																											
Electrogena braaschi																																											
Electrogena calabra					5	5										1																											
Electrogena fallax																1																											
Electrogena grandiae				7	3												1																										
Electrogena gridellii					10												1																										
Electrogena hellenica																																											
Electrogena hyblaea					5	5									1																												
Electrogena lateralis				2	5	1		1		1							1						6	1	3		1		1	5	3	1		5				5					
Electrogena lunaris																	1																										
Electrogena macedonica																						2	4	4																			
Electrogena malickyi																							8	2																			
Electrogena ozrensis																																											
Electrogena quadrilineata					2	2					6							1																5				5					
Electrogena samalorum					5						5					1																		10									
Electrogena trimaculata																																											
Electrogena ujhelyii		1	3		2				3		1				1															2	7	1		5				5					
Electrogena vipavensis					3	7																																					
Electrogena zebrata																1																											
Epeorus alpicola				2	4	4													1		1	9							5	5				8				2					
Epeorus assimilis					5	5													1			2	7	1			1			6	4			10									
Epeorus sylvicola				1	5	3			1									1			3	3	3	1			1							10									
Epeorus torrentium				1	5	4												1				2	4		4		1																
Epeorus yougoslavicus					5	5													1			3	4	3			1																
Epeorus znojkoi																								10																			
Heptagenia coerulans	1		1		4	4												1						10			1				8	2		5				5					
Heptagenia dalecarlica					6	4											1				5	5																					
Heptagenia flava	1			1	3				2	1	2						1				1	3	4	2			1				7	3		5				5					
Heptagenia longicauda	1			3	2				2		2						1										1				7	3		5				5					
Heptagenia samochai																																											
Heptagenia sulphurea				1	5	3			1								1					1	4	5			1			2	6	2		5				5					
Kageronia fuscogrisea	1				3	2			4							1					4	5	1				1			3	6	1		5				5					
Kageronia orbiticola	2	2	2							2	2					1						10												6				4					
Rhithrogena adrianae				5	5													1																									
Rhithrogena allobrogica					10													1											1	6	3			10									
Rhithrogena alpestris					6	4													1		3	4	3						5	4	1			10									
Rhithrogena austriaca					10														1										4	4	2			10									
Rhithrogena beskidensis				1	8	1													1											2	7	1		10									
Rhithrogena braaschi																		1																									
Rhithrogena bulgarica																		1																									
Rhithrogena buresi																		1											2	4	4			10									
Rhithrogena carpatoalpina					9	1												1																10									
Rhithrogena castellana																		1																									
Rhithrogena catalaunica																		1																									
Rhithrogena cincta																		1																									
Rhithrogena circumtatrica					10														1										2	5	3			10									
Rhithrogena colmarsensis																			1																								
Rhithrogena corcontica																			1																								
Rhithrogena daterrai																		1																									
Rhithrogena degrangei					6	4													1		5	4	1						3	4	3			10									
Rhithrogena delphinensis																		1																									
Rhithrogena diaphana			1	3	4	1		1										1			1	1	8				1			4	6			10									
Rhithrogena diensis																		1																									
Rhithrogena dorieri				1	9													1																10									
Rhithrogena eatoni																		1																									
Rhithrogena endenensis					10														1										3	5	2			10									
Rhithrogena fiorii					5	5												1																									
Rhithrogena fonticola																		1																									
Rhithrogena germanica				1	6	3												1			1	1	3	1	4		1							10									
Rhithrogena goeldlini																		1																									
Rhithrogena gorganica																		1																									
Rhithrogena gorrizi																		1																									
Rhithrogena gratianopolitana					10													1											2	4	4			10									
Rhithrogena grischuna					10													1				6	4				1							10									
Rhithrogena hercegovina																		1																									
Rhithrogena hercynia					7	3												1					6	4			1			6	4			10									
Rhithrogena hybrida					9	1												1			3	4	3				1		4	4	2			10									
Rhithrogena insularis					5	5											1																										
Rhithrogena iridina				1	5	2			1	1								1			3	4	3				1							10									
Rhithrogena jacobi																		1																									
Rhithrogena jahorinensis																		1																									
Rhithrogena kimminsi																		1					10																				
Rhithrogena landai					10													1											3	4	3			10									
Rhithrogena loyolaea			1	1	5	3													1		4	4	2				1		4	5	1			10									
Rhithrogena marcosi																		1																									
Rhithrogena mariaedominicae																		1																									
Rhithrogena marinkovici																		1																									
Rhithrogena monserrati																		1																									
Rhithrogena neretvana																		1																									
Rhithrogena nivata					3	7													1										6	4				10									
Rhithrogena nuragica					5	5												1																									
Rhithrogena oscensis																		1																									
Rhithrogena picteti					10													1				1	1		8				2	4	4			10									
Rhithrogena podhalensis					10													1					10						3	4	3			10									
Rhithrogena puthzi					10													1				10					1		4	5	1			10									
Rhithrogena puytoraci					8	2												1						10					1	6	3			10									
Rhithrogena reatina					5	5												1																									
Rhithrogena rolandi																		1											2	4	4			10									
Rhithrogena savoiensis					10													1				2	8						1	4	4	1		10									
Rhithrogena semicolorata				1	5	3		1										1			1	2	3	1	3		1			3	5	2		10									
Rhithrogena sibillina																		1																									
Rhithrogena siciliana																	1																										
Rhithrogena soteria																		1																									
Rhithrogena sowai																		1																									
Rhithrogena strenua																		1			2	6	2																				
Rhithrogena taurisca					10													1											6	4				10									
Rhithrogena thomasi																		1																									
Rhithrogena thracica																		1																									
Rhithrogena vaillanti																		1												5	4	1		10									
Rhithrogena wolosatkae					5	5												1																									
Rhithrogena zelinkai																		1																10									
Rhithrogena zernyi																		1																									
ISONYCHIIDAE																																											
Isonychia ignota			1		4				5									1																						10			
LEPTOPHLEBIIDAE																																											
Calliarcys humilis			4								3	3																															
Choroterpes borbonica																																											
Choroterpes lesbosensis																								10																			
Choroterpes picteti				1	5	3			1								1				1	1	3	5			1													8			2
Choroterpes prati					5	5											1																										
Choroterpes salamannai					5	5											1																										
Euthraulus assimilis																	1							10																			
Euthraulus balcanicus				5	5											1								10																			
Habroleptoides annae																																											
Habroleptoides auberti					2				6	2							1				1	4	5																				
Habroleptoides berthelemyi																	1				2	3	5																				
Habroleptoides budtzi																																											
Habroleptoides carpatica																																											
Habroleptoides confusa	1			1	4				3	1							1				1	2	5	2			1			5	4	1						10					
Habroleptoides filipovicae																																											
Habroleptoides malickyi																																											
Habroleptoides modesta	1			2	2	2			1	2							1					2	2		6		1		3	4	2	1											
Habroleptoides nervulosa			5	5																																							
Habroleptoides pauliana			3		3	3			1								1																										
Habroleptoides thomasi																																											
Habroleptoides umbratilis	1		2		5					2							1				1	4	5																				
Habrophlebia antoninoi																																											
Habrophlebia consiglioi																																											
Habrophlebia eldae			1	1						8						1						1	8	1														10					
Habrophlebia fusca	2		1		2	1			2	2						1						1	5	2	2				1	4	4	1		2				8					
Habrophlebia lauta	2		1	1	2				1	3						1						1	7	2			1			3	4	3		2				8					
Leptophlebia marginata	2	1	1	1					5						1						4	4	2				1			2	6	2						10					
Leptophlebia vespertina	2	1	1	1	1				4						1						4	3	2	1			1			3	6	1						10					
Paraleptophlebia cincta						5			5								1				4	4	2															10					
Paraleptophlebia falcula																																											
Paraleptophlebia lacustris																																											
Paraleptophlebia longilobata																																											
Paraleptophlebia ruffoi									10						1																												
Paraleptophlebia strandii																																											
Paraleptophlebia submarginata	1				2	1		1	4	1							1					2	5	2	1		1			5	4	1						10					
Paraleptophlebia werneri	1	1	1						5	2								1									1											10					
Thraulus bellus			1	3	2	3			1								1						10																				
Thraulus thraker																																											
NEOEPHEMERIDAE																																											
Neoephemera maxima	2		2						3	3							1																										
OLIGONEURIIDAE																																											
Oligoneuriella duerensis																		1																									
Oligoneuriella keffermuellerae			10															1																									
Oligoneuriella marichuae					3	3		1	1		2							1																						10			
Oligoneuriella pallida					3	2			3		2							1					5	5			1																
Oligoneuriella polonica																		1																									
Oligoneuriella rhenana	1			1	3	5												1				1	8	1			1			2	7	1								10			
Oligoneuriopsis skhounate				5	5																																						
Oligoneurisca borysthenica			10																																								
PALINGENIIDAE																																											
Palingenia fuliginosa		10																																									
Palingenia longicauda	1	8	1															1									1												10				
Palingenia sublongicauda																																											
POLYMITARCYIDAE																																											
Ephoron nigridorsum																																											
Ephoron virgo	3	2	2	1	1	1											1						5	5			1				7	3							10				
POTAMANTHIDAE																																											
Potamanthus luteus	1	1	1	1	3	1			1	1							1					1	7	2			1				8	2						9	1				
PROSOPISTOMATIDAE																																											
Prosopistoma pennigerum				1	4	3		2										1																1							9		
SIPHLONURIDAE																																											
Parameletus chelifer																					7	3					1																
Parameletus minor																											1																
Siphlonurus abraxas																																											
Siphlonurus aestivalis	1		1	1	1				3	3					1						1	3	6				1			2	6	2						10					
Siphlonurus alternatus	1		1						8						1												1											10					
Siphlonurus armatus	3		1						5	1					1																							10					
Siphlonurus chankae																																											
Siphlonurus croaticus				5					5								1													5	4	1						10					
Siphlonurus flavidus																																											
Siphlonurus hispanicus																																											
Siphlonurus ireneae																																											
Siphlonurus lacustris	1		1	1	1			1	3	1	1				1						3	2	5				1		2	4	4							10					
Siphlonurus lusoensis																																											
Siphlonurus montanus																																											
Odonata																																											
AESHNIDAE																																											
AESHNINAE																																											
Aeshna affinis															1															2	6	2									10		
Aeshna caerulea															1																										10		
Aeshna crenata																																											
Aeshna cyanea															1															1	6	3									10		
Aeshna grandis															1															1	6	3									10		
Aeshna isosceles															1																										10		
Aeshna juncea														1																											10		
Aeshna mixta															1															2	6	2									10		
Aeshna osiliensis																																									10		
Aeshna serrata																																											
Aeshna subarctica														1																											10		
Aeshna viridis															1																										10		
Anax immaculifrons																																											
Anax imperator															1															2	6	2									10		
Anax parthenope															1															2	6	2									10		
Hemianax ephippiger																																									10		
BRACHYTRONINAE																																											
Boyeria cretensis																																											
Boyeria irene																																											
Brachytron pratense															1																										10		
